# GREAT version 3.0.0	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
0610009L18Rik	. (+5071)
Msi2	. (-282), . (+206287), . (+214728)
Msl1	. (-12015), . (-6446), . (-419)
Msl2	. (-376)
Msl3	. (+309)
Msn	. (+34452)
Msto1	. (+126)
Mt1	. (-60)
Mta2	. (-50)
Mta3	. (+26139)
Mtbp	. (-26)
Mtch1	. (-52)
Mtdh	. (+43)
Mterfd1	. (-49)
Mtfp1	. (-1321)
Mthfd1	. (+4), . (+63706)
Mthfd2	. (+191)
Mthfr	. (-2233)
Mtl5	. (-63392), . (+270)
Mtmr1	. (-86)
Mtmr10	. (-23)
Mtmr4	. (-201)
Mtmr6	. (-23)
Mtor	. (-175)
Mttp	. (-339)
Mtx3	. (+47)
Mxd4	. (-252)
Mxi1	. (+3934), . (+18989)
Mybbp1a	. (-62)
Mybph	. (+2988)
Myc	. (-827473), . (+94235), . (+343208)
Myl12a	. (+79)
Myl6	. (-128)
Myl9	. (-54505)
Mylk2	. (+3236)
Myo18a	. (-14061)
Myo19	. (-50)
Myo1e	. (+2348)
Myo1g	. (-7770)
Myo9a	. (-272)
Myo9b	. (-197)
Myom1	. (+163861)
Mysm1	. (-37)
N4bp2l2	. (-48)
N4bp3	. (-119)
Naa16	. (+19)
Naa20	. (+23)
Naa25	. (+78)
Naa30	. (-500)
Naa40	. (+163)
Nabp1	. (-104)
Nabp2	. (-41)
Naca	. (+201)
Nacc2	. (-41003)
Nadk	. (+1515)
Nagk	. (+29)
Nagpa	. (+182)
Nampt	. (-440583), . (-103)
Nanp	. (-95)
Nap1l4	. (-70)
Napa	. (-120)
Napepld	. (-393)
Naprt1	. (+10182)
Narfl	. (-38)
Nars	. (-18)
Nat10	. (-52)
Nat9	. (-33)
Nbn	. (+465)
Ncapg2	. (-128)
Ncaph	. (-89)
Ncbp2	. (-42)
Nceh1	. (-8)
Nck1	. (-63)
Nckap5l	. (-11518)
Nckipsd	. (-3)
Ncoa4	. (+5922)
Ncrna00085	. (+669)
Ncs1	. (-6400)
Ndc80	. (-88)
Nde1	. (-3479), . (-173)
Ndel1	. (-11)
Ndfip1	. (-51468)
Ndor1	. (+8)
Ndrg1	. (-135)
Ndst2	. (-3893)
Ndst3	. (+182382)
Ndufa1	. (-120)
Ndufa10	. (+105), . (+293090)
Ndufa12	. (+182)
Ndufa13	. (+890)
Ndufa4l2	. (-1904)
Ndufa6	. (-80)
Ndufa7	. (-35)
Ndufab1	. (+163)
Ndufaf2	. (+50)
Ndufaf3	. (+176)
Ndufaf4	. (-5)
Ndufaf7	. (-248)
Ndufb10	. (+210)
Ndufb4	. (-30635)
Ndufb5	. (-95)
Ndufs3	. (+119)
Ndufs6	. (-2543)
Ndufv1	. (+17)
Ndufv2	. (-104)
Neb	. (+19519)
Necap1	. (-27)
Nedd4	. (-22467)
Nek4	. (-56)
Nek6	. (+24854)
Nek9	. (-124)
Nelfa	. (+110)
Nelfb	. (+48)
Nelfcd	. (-88279)
Nelfe	. (-30)
Nenf	. (+18556), . (+40442)
Net1	. (+24681)
Neu1	. (-58), . (+21473)
Neu4	. (+14883)
Neurl2	. (-180)
Neurl4	. (-273)
Nfat5	. (-195)
Nfatc3	. (-356)
Nfe2l2	. (-58867)
Nfe2l3	. (-161792)
Nfil3	. (-1771)
Nfkbia	. (+79), . (+45547)
Nfkbie	. (-3566)
Nfkbil1	. (+3)
Nfkbiz	. (+16751)
Nfs1	. (-134)
Nfu1	. (-7018)
Nfx1	. (+102)
Ngly1	. (+225)
Nhej1	. (-28194)
Nhlrc2	. (-108)
Nhlrc3	. (-198)
Nhp2	. (+90)
Nif3l1	. (+320)
Ninj1	. (+18234)
Ninj2	. (+19116)
Nkiras1	. (-25)
Nkx2-5	. (-44691)
Nle1	. (+106)
Nlrp10	. (-4130)
Nme1	. (+89)
Nme2	. (+492)
Nme3	. (-1252), . (-46)
Nme6	. (-91)
Nmnat2	. (+137150)
Nmt1	. (+49)
Nob1	. (+75)
Noc4l	. (-52)
Nod2	. (+15251)
Nog	. (+201762)
Nol11	. (+102)
Nol12	. (-6597), . (+92)
Nol6	. (+131)
Nol7	. (-15)
Nol8	. (-276)
Nol9	. (-8)
Nolc1	. (+16)
Nono	. (-166)
Nop10	. (-2)
Nop14	. (-165)
Nop16	. (-134)
Nop2	. (-135)
Nop56	. (-64)
Nop58	. (-58)
Nos3	. (+18853)
Notch2	. (-118), . (+72567)
Notch3	. (-2994), . (+2658)
Noxo1	. (-343)
Npat	. (-193)
Npc1	. (+67750)
Npcd	. (+38)
Npnt	. (+78450)
Nptn	. (-214)
Nqo2	. (-9)
Nr1d1	. (-13737), . (-8168), . (+1400), . (+20532)
Nr1d2	. (+370)
Nr3c1	. (+349657)
Nr4a1	. (-20406)
Nr4a3	. (-1784)
Nr5a1	. (-214331), . (+53585)
Nr5a2	. (+274837)
Nr6a1	. (+1123)
Nrarp	. (+5097), . (+12785)
Nras	. (-73)
Nrbf2	. (-2746), . (-82), . (+99625)
Nrde2	. (-27912)
Nrf1	. (+105)
Nrm	. (+220)
Nrtn	. (-4652)
Nsd1	. (-19505)
Nsfl1c	. (+54)
Nsl1	. (-45)
Nsmce4a	. (+202)
Nsun4	. (+200)
Nsun4	. (-296)
Nt5c	. (+240)
Nt5dc3	. (-391)
Nt5e	. (-85843)
Nthl1	. (-60)
Ntmt1	. (+20493)
Nubp2	. (-109)
Nucb2	. (-45049)
Nudcd1	. (+287)
Nudcd3	. (+107)
Nudt15	. (+23167)
Nudt18	. (-139)
Nudt19	. (+1006)
Nudt3	. (-5952)
Nudt5	. (+68)
Nudt6	. (-588)
Nudt8	. (-103)
Nudt9	. (-194)
Nuf2	. (-89)
Nufip1	. (+67)
Nufip2	. (-153)
Numbl	. (+74129)
Nup133	. (-64)
Nup153	. (-249)
Nup155	. (-6)
Nup160	. (+2073)
Nup188	. (-202)
Nup214	. (-79)
Nup50	. (-209)
Nup54	. (-19)
Nup85	. (-100)
Nupl1	. (-139)
Nupl2	. (+101662)
Nutm1	. (-2633)
Nvl	. (-187)
Nxf2	. (-44622)
Nxt1	. (+96)
Nyx	. (-4257)
Ociad1	. (-46)
Ogfod2	. (-167)
Ogt	. (-138)
Ola1	. (+28)
Olfr1324	. (-193448)
Olfr1396	. (+25440)
Olfr279	. (+15582)
Olfr288	. (+39550)
Olfr291	. (-74026)
Olfr464	. (-52932)
Onecut3	. (+14899)
Opa1	. (-48)
Optc	. (+129243)
Orc4	. (+37)
Orc5	. (-868040), . (-8)
Ormdl1	. (-107)
Ormdl3	. (+31)
Osbpl1a	. (-48)
Osbpl2	. (-78)
Osbpl3	. (-162863)
Osbpl8	. (-115)
Osgep	. (-99)
Ostm1	. (+43)
Otud1	. (-417)
Otud3	. (-8278), . (+75)
Otud7a	. (+452259)
Ovca2	. (-98)
Oxa1l	. (-30)
Oxnad1	. (+136)
Oxr1	. (+164927)
Oxsm	. (+303)
Oxsr1	. (-446)
P2rx3	. (-1754)
P2rx4	. (-40)
P4ha2	. (+49026)
Pabpc1	. (-183674), . (-118855), . (-107463)
Paf1	. (-61)
Pafah2	. (-162)
Pak1ip1	. (+203)
Pald1	. (+41780)
Pan3	. (-146)
Pank3	. (-135)
Papd4	. (-75)
Pard6b	. (+73482)
Park2	. (+972262)
Parl	. (-124)
Parp1	. (-122)
Parp2	. (-172)
Parp3	. (-201)
Parp4	. (-3777)
Parp6	. (-190)
Pate2	. (-40)
Patl1	. (-36)
Patz1	. (-397)
Paxbp1	. (-46)
Paxip1	. (-420)
Pbld2	. (-454)
Pbx3	. (-613)
Pbxip1	. (-111)
Pcbp1	. (-309), . (+53826)
Pcbp2	. (-243)
Pced1a	. (-231)
Pcgf2	. (-2772)
Pcid2	. (+520)
Pcmtd1	. (+308946)
Pcnp	. (+55981)
Pcnxl3	. (+24)
Pcx	. (-165)
Pcyox1	. (-3945)
Pcyox1l	. (-178)
Pcyt1a	. (-143)
Pdcd1	. (+17074)
Pdcd11	. (-27), . (+42503)
Pdcd2	. (-38)
Pdcd4	. (+11818)
Pde12	. (+7)
Pde4a	. (-4269)
Pde4dip	. (+120589)
Pde6d	. (+54388)
Pdf	. (+117)
Pdia3	. (-40)
Pdia6	. (-85)
Pdik1l	. (+576)
Pdk3	. (-20)
Pdlim5	. (-133)
Pdlim7	. (-20)
Pdp1	. (-152)
Pdp2	. (-102)
Pdpk1	. (-10852), . (-25)
Pdrg1	. (+28)
Pds5a	. (-588)
Pds5b	. (-128)
Pdss1	. (+111)
Pdx1	. (+23381)
Pdxdc1	. (-445)
Pebp1	. (+154034)
Pelp1	. (-146)
Pemt	. (-29)
Peo1	. (-51)
Pepd	. (+13)
Per1	. (-3963)
Per2	. (-222)
Pes1	. (-48)
Pet112	. (-174)
Pex1	. (+337)
Pex11b	. (+94)
Pex12	. (-3515), . (+76), . (+7274), . (+74533)
Pex2	. (+214)
Pex3	. (+48)
Pex6	. (-29)
Pex7	. (+172)
Pfdn4	. (+130)
Pfkfb3	. (-33513), . (+18)
Pfn1	. (-37)
Pfn3	. (-3014)
Pgam5	. (+44)
Pgc	. (+10357), . (+27400), . (+33076), . (+42161)
Pgm2l1	. (-43)
Pgrmc2	. (-145675), . (-274)
Phax	. (+167)
Phb	. (-105)
Phb2	. (-253)
Phc2	. (+22905)
Phc3	. (-40)
Phf17	. (-327013)
Phf2	. (-7863)
Phf20	. (-26797)
Phf20l1	. (+7)
Phf7	. (-61)
Phip	. (-481)
Phlda1	. (+101)
Phlda3	. (+159)
Phlpp1	. (-177752), . (-237)
Phospho1	. (-163), . (+10711)
Phrf1	. (-6859)
Phtf2	. (-393)
Phyh	. (-1366)
Pi4ka	. (+349)
Pias1	. (-143418), . (-144)
Pigc	. (-134)
Pigk	. (-102)
Pigo	. (+83)
Pigp	. (+166)
Pigq	. (-13)
Pigw	. (+97)
Pik3c2a	. (-15867)
Pik3c3	. (+45)
Pik3ip1	. (+1955)
Pik3r1	. (-47), . (+48565), . (+73999)
Pikfyve	. (-105)
Pim1	. (-53380), . (-52136), . (-154), . (+2028), . (+22623)
Pim2	. (-139)
Pim3	. (+1776)
Pinx1	. (-30)
Pip4k2a	. (-96)
Pip5k1c	. (-18)
Pip5kl1	. (-4911)
Pipox	. (+91452), . (+100565)
Pisd	. (+14)
Pithd1	. (+47)
Pitrm1	. (-69)
Pkd1	. (-18)
Pkig	. (+60932)
Pkm	. (-204), . (+3152)
Pkn3	. (-945)
Pla2g12a	. (+111)
Pla2g15	. (-134)
Pla2g6	. (-69)
Plag1	. (-594)
Plagl2	. (-40)
Plau	. (+48676)
Plbd2	. (+243)
Plcb3	. (-4770)
Plcd3	. (-1305)
Plcl2	. (-38793)
Plcxd1	. (-5387)
Plec	. (+1077), . (+7713)
Plek2	. (-73872)
Plekha2	. (+31610)
Plekhh3	. (-2608)
Plekho1	. (+44793)
Plekho2	. (+38405), . (+55878)
Plg	. (-11018)
Plin3	. (-794)
Plk3	. (-5500), . (-33)
Plp2	. (-2497)
Plvap	. (-10055)
Plxdc1	. (+50176)
Pmaip1	. (+60851)
Pmf1	. (+319)
Pml	. (-3444)
Pmm2	. (-170)
Pmpca	. (-11)
Pms1	. (+30)
Pms2	. (-214)
Pnkd	. (-258), . (+10715)
Pnma5	. (+28968)
Pnpo	. (-31)
Pofut1	. (-67)
Pola2	. (-9)
Pold4	. (-77)
Poldip2	. (-2)
Pole4	. (-87519), . (-49922)
Polg2	. (-71)
Polh	. (-67), . (+39503)
Poll	. (+18837)
Polm	. (-137)
Polr1a	. (-158)
Polr1b	. (+4)
Polr1d	. (-375)
Polr2h	. (+53)
Polr2i	. (+130)
Polr2j	. (+130)
Polr2l	. (-132), . (+6230)
Polr3a	. (-31)
Polr3c	. (+11)
Polr3d	. (+95)
Polr3g	. (-135)
Polr3gl	. (+13871)
Polr3h	. (+22)
Pom121	. (+111)
Pomc	. (-120352)
Pomp	. (-13)
Pomt1	. (-68467)
Pop1	. (+117)
Pop7	. (+208)
Por	. (-40)
Pot1b	. (+158)
Pou2f1	. (-154)
Ppa1	. (-9)
Ppan	. (-72)
Ppapdc3	. (+42444)
Ppard	. (-80), . (+24296)
Ppargc1b	. (-81486)
Ppcdc	. (+6396), . (+18880)
Ppfia3	. (-685)
Ppfia4	. (-241)
Ppib	. (-88)
Ppif	. (-176877), . (-109)
Ppig	. (-202)
Ppil1	. (-4706)
Ppil3	. (+15)
Ppil4	. (-28)
Ppip5k1	. (-4571)
Ppip5k2	. (+167)
Ppm1a	. (-308)
Ppm1f	. (-39)
Ppme1	. (-109)
Ppp1r11	. (+9)
Ppp1r14b	. (-489)
Ppp1r15b	. (-143)
Ppp1r18	. (-4087), . (+4831)
Ppp1r21	. (-88239), . (+67091)
Ppp1r3f	. (+151348)
Ppp1r8	. (-78), . (+34814)
Ppp1r9b	. (-1230)
Ppp2cb	. (-180)
Ppp2r2a	. (+158)
Ppp2r3c	. (-85626)
Ppp2r4	. (-136), . (+48068)
Ppp2r5c	. (+105782)
Ppp3ca	. (-998)
Ppp6r2	. (-42797)
Ppy	. (-1532)
Pqlc2	. (+5)
Pram1	. (+47396)
Prc1	. (-117)
Prdm1	. (+216), . (+77899)
Prdm2	. (+50524)
Prdx1	. (+132)
Prdx4	. (+53)
Prdx5	. (+234)
Prelid1	. (-70)
Prep	. (-102)
Prf1	. (+43907)
Prg2	. (-41834)
Prickle3	. (-9511)
Prkab1	. (-66)
Prkab2	. (-90), . (+109906)
Prkag1	. (-6)
Prkag2	. (-563)
Prkcd	. (-4915)
Prkce	. (-77), . (+176496), . (+277272), . (+279546)
Prkch	. (+194807)
Prkci	. (+65670)
Prkcsh	. (-184)
Prkcz	. (+53137)
Prmt3	. (+144)
Prmt7	. (+123)
Prorsd1	. (-3)
Proser1	. (-177)
Prox2	. (-4231)
Prpf19	. (-56)
Prpf3	. (-27)
Prpf39	. (+18)
Prpf40b	. (-192)
Prph2	. (+84667)
Prps1	. (+47453), . (+63799), . (+86682)
Prps1l3	. (-16)
Prpsap1	. (-180)
Prr12	. (-1242)
Prr18	. (+32418)
Prr7	. (+7367)
Prrc2b	. (-13110), . (+17041)
Prrc2c	. (-32)
Prrt2	. (-4042)
Prss12	. (+61522)
Prss22	. (+4386)
Prss30	. (-18484)
Prss36	. (+11213)
Prss41	. (+181)
Prss8	. (-5399)
Psat1	. (-20)
Psd2	. (-5565)
Psma1	. (-54)
Psma4	. (+23)
Psma5	. (+53)
Psma6	. (-10149), . (+48325)
Psmb1	. (-1563)
Psmb2	. (-72)
Psmb3	. (-130)
Psmb7	. (-14562), . (+107590)
Psmc3	. (-27)
Psmd12	. (+32681)
Psmd3	. (-93)
Psmd5	. (-175)
Psmd6	. (+39)
Psme3	. (-209)
Psmg1	. (+62), . (+163440), . (+261814)
Psmg2	. (-133)
Psmg3	. (+122)
Psrc1	. (+18029)
Ptbp1	. (-98)
Ptcd2	. (+16)
Ptcd3	. (-133)
Ptch2	. (+24640)
Ptdss1	. (+307)
Pten	. (-1000), . (+147238), . (+344034)
Ptges	. (-39556)
Ptgr2	. (-43)
Ptk2b	. (+133235)
Ptma	. (-86004), . (-39150), . (-22400), . (-17139), . (-1224), . (+1423)
Ptp4a1	. (-380)
Ptp4a2	. (-9056), . (-170)
Ptpdc1	. (+79762)
Ptplad1	. (-129)
Ptpn1	. (-242370), . (-7154)
Ptpn2	. (+222)
Ptpn21	. (-64)
Ptpn23	. (-78)
Ptpn6	. (-2587)
Ptpn9	. (-11)
Ptpra	. (-211)
Ptprj	. (+4216)
Ptprn	. (+12578)
Ptprs	. (+109), . (+118783)
Ptpru	. (+890897)
Ptrh2	. (-71)
Ptrhd1	. (+152)
Pts	. (+49)
Ptx3	. (-245115)
Pura	. (+5935)
Purb	. (-141)
Pus1	. (-60)
Pus7	. (-4299), . (-150)
Pxn	. (-61)
Pycr2	. (+140)
Pycrl	. (+53)
Pygo2	. (+227)
Pyurf	. (+305)
Qk	. (-551)
Qk	. (+317)
Qsox2	. (+44)
Qtrt1	. (+74)
Qtrtd1	. (-63)
R3hcc1	. (+10253)
R3hcc1l	. (+72)
Rab1	. (-516)
Rab10	. (+208), . (+74392)
Rab12	. (-51)
Rab17	. (-3843)
Rab22a	. (+36)
Rab24	. (-5)
Rab25	. (-4723)
Rab2b	. (+81)
Rab31	. (+177)
Rab33b	. (+88), . (+75735)
Rab3gap2	. (-182)
Rab44	. (-41372), . (-39512), . (+36287)
Rab5a	. (-116)
Rab5b	. (-141)
Rab6a	. (-16489), . (-98)
Rab7	. (-29945), . (+51)
Rabep1	. (-15)
Rabgef1	. (-15659)
Rabggta	. (-2424), . (-36)
Rac1	. (+104)
Rac2	. (-14598), . (-9084)
Rad1	. (-29)
Rad17	. (-53)
Rad21	. (-175)
Rad23b	. (-208)
Rad50	. (+74)
Rad51	. (-172)
Rad51ap1	. (-168)
Rad51b	. (+312445), . (+808462)
Rad51c	. (+497)
Rad51d	. (-13)
Rad9a	. (+7)
Rad9b	. (-155)
Rai1	. (-90)
Ralb	. (-21509)
Ralgps2	. (-135797)
Ranbp1	. (-78)
Ranbp2	. (+33)
Rangap1	. (-122)
Rap1a	. (-24425)
Rapgef3	. (-228)
Rapgefl1	. (-26866)
Rara	. (+4419)
Rars	. (-47)
Rasa2	. (-38473)
Rasal2	. (+9)
Rasd1	. (-241)
Rasgrp3	. (-133)
Rassf1	. (+3014)
Rassf5	. (+45087)
Rassf7	. (+6070)
Rb1cc1	. (+52)
Rbbp4	. (-453)
Rbbp6	. (-759), . (+153356)
Rbck1	. (+92)
Rbm15b	. (-108)
Rbm17	. (-51), . (+67655)
Rbm19	. (-58)
Rbm22	. (+143)
Rbm25	. (-146)
Rbm3	. (+219)
Rbm38	. (-430), . (+1561), . (+63346)
Rbm39	. (-16332)
Rbm45	. (+117)
Rbm48	. (+182)
Rbms3	. (+876263)
Rbp7	. (+9470)
Rbpj	. (-987)
Rcan1	. (-90)
Rcbtb1	. (-211)
Rcbtb2	. (-25329)
Rcc2	. (-20829), . (-641)
Rccd1	. (+176)
Rcl1	. (-37456)
Rcor1	. (+120462)
Rdh14	. (+49)
Rdh5	. (-4082)
Recql4	. (-4882), . (-6)
Recql5	. (-80)
Rell1	. (+10948)
Relt	. (+63)
Repin1	. (-3)
Reps1	. (-582)
Rere	. (-41479)
Rev1	. (-299)
Rexo2	. (-137)
Rfc4	. (-161)
Rfng	. (+7963)
Rfpl3s	. (+42738)
Rftn1	. (+165349)
Rfx3	. (-609)
Rfx7	. (-1778), . (+107850)
Rgcc	. (-81)
Rgl2	. (-30)
Rgs2	. (-2571)
Rhbdf2	. (+8168)
Rhbg	. (+76808)
Rhebl1	. (+97)
Rhob	. (-222)
Rhof	. (-3774)
Rhog	. (-692)
Rhoq	. (-353)
Rhot1	. (+118)
Rhot2	. (+315)
Ribc1	. (-195)
Rif1	. (+246442)
Rilpl2	. (-4728)
Rimbp3	. (+985)
Rin1	. (+3251)
Rin3	. (+12347)
Ring1	. (-3246), . (+181)
Rint1	. (-4008), . (+141)
Riok1	. (-139)
Riok2	. (+37)
Riok3	. (+39800)
Rlf	. (-8)
Rmdn3	. (-97)
Rmi1	. (+2)
Rmi2	. (+144455)
Rmnd1	. (-46)
Rmnd5a	. (-424)
Rnaseh2b	. (+100)
Rnf10	. (-140)
Rnf103	. (+59)
Rnf113a1	. (+38)
Rnf115	. (+6)
Rnf121	. (-215)
Rnf139	. (-325)
Rnf14	. (+136)
Rnf151	. (-1953)
Rnf157	. (-11203)
Rnf166	. (+27)
Rnf185	. (-3)
Rnf186	. (-44889)
Rnf19a	. (-37)
Rnf19b	. (-46572)
Rnf213	. (-3219)
Rnf215	. (+36)
Rnf216	. (-48)
Rnf219	. (+64)
Rnf34	. (+106)
Rnf4	. (+23976)
Rnf41	. (-1701)
Rnf44	. (-26)
Rnf8	. (-90)
Rnft1	. (-146)
Rnft2	. (-351)
Rnh1	. (+183)
Rnls	. (+290734), . (+487530)
Rnmt	. (-152)
Rnmtl1	. (+48)
Rnps1	. (-577)
Romo1	. (+281)
Rpa1	. (-63)
Rpa2	. (-147)
Rpap3	. (+123809)
Rpe	. (+115330)
Rph3al	. (-29417)
Rpia	. (+172)
Rpl10a	. (-39)
Rpl11	. (-57281), . (-13)
Rpl12	. (-49049), . (+209)
Rpl13a	. (-193)
Rpl14	. (-17), . (+5740)
Rpl15	. (-44)
Rpl18	. (-7710)
Rpl19	. (-129)
Rpl23	. (+128)
Rpl24	. (+7483)
Rpl26	. (-41)
Rpl27	. (+37)
Rpl28	. (-3885)
Rpl3	. (-97)
Rpl34	. (-88562), . (+18)
Rpl36	. (-3551), . (+12)
Rpl36a	. (+99)
Rpl36al	. (+55)
Rpl37	. (-125)
Rpl3l	. (-3561)
Rpl41	. (-69)
Rpl5	. (+139), . (+60404)
Rpl7l1	. (+104)
Rpl8	. (-4210), . (+58)
Rpl9	. (+67)
Rplp0	. (-34)
Rplp1	. (-76), . (+206454)
Rplp2	. (+94)
Rpn1	. (-9258)
Rpp14	. (+68)
Rpp38	. (-100)
Rprd1b	. (-418)
Rprd2	. (-731)
Rps10	. (-80), . (+5859)
Rps11	. (-4551), . (-117)
Rps15	. (-22)
Rps18	. (-129)
Rps19bp1	. (-17)
Rps2	. (-241)
Rps20	. (+83)
Rps21	. (-125)
Rps24	. (-3604), . (+887754)
Rps26	. (-177)
Rps27a	. (-193)
Rps27l	. (+56)
Rps28	. (+6)
Rps3a1	. (+49)
Rps5	. (-36)
Rps6ka1	. (+73419)
Rps6ka2	. (-450)
Rps6kb1	. (-80)
Rps6kb2	. (-6397)
Rps8	. (+167), . (+16780)
Rpusd2	. (+21)
Rpusd4	. (+43)
Rragc	. (-82)
Rreb1	. (-168003)
Rrn3	. (+13)
Rrp1	. (+59)
Rrp15	. (+218)
Rrp1b	. (+272), . (+128122)
Rrp36	. (-23)
Rrp7a	. (+123)
Rrp8	. (+789)
Rrp9	. (-119)
Rrs1	. (-1)
Rsad1	. (+74)
Rsbn1	. (+269)
Rsf1	. (-290)
Rsl1d1	. (+6)
Rsl24d1	. (-154)
Rslcan18	. (+5422)
Rsph3b	. (+120531)
Rtca	. (-4741)
Rtfdc1	. (-108)
Rtn4	. (-47182), . (+1094)
Rtn4rl1	. (-3248)
Rufy1	. (-8928)
Runx1	. (-467092), . (-78134), . (-105)
Runx3	. (-174359), . (+85927)
Rusc1	. (+2398)
Ruvbl2	. (+139)
Rwdd1	. (-111)
Rwdd3	. (+157)
Rxrb	. (-3886)
Ryr1	. (+85364)
S100pbp	. (-325)
Saal1	. (+15)
Sac3d1	. (+172)
Sacm1l	. (-4675)
Sae1	. (-97)
Safb	. (-313)
Safb2	. (-84)
Samd8	. (+62640)
Sap30bp	. (+275)
Sapcd2	. (+23)
Sar1b	. (-13)
Sardh	. (-164675)
Sars	. (+900)
Sart3	. (-2189)
Sash3	. (-18586), . (-4884)
Sass6	. (-123)
Sat1	. (-89)
Sav1	. (-198)
Saysd1	. (+250)
Sbds	. (+23)
Sc4mol	. (+212)
Sc5d	. (-45)
Scaf11	. (-82633), . (-63)
Scaf8	. (-30691), . (-119), . (+115452)
Scai	. (-86)
Scand1	. (+139)
Scap	. (+129)
Scaper	. (-18571)
Scarb1	. (+291)
Scarb2	. (+77)
Scarf2	. (-36204)
Sccpdh	. (+39)
Scfd2	. (-156)
Scgb1a1	. (+90279)
Scn2b	. (+4226)
Scn4b	. (-16335)
Sco1	. (+61)
Sco2	. (-1475)
Scpep1	. (+198)
Scrib	. (-143)
Scrn2	. (-7793), . (-3885)
Scyl1	. (-78897), . (-74065), . (-16006)
Sdad1	. (-21)
Sdc4	. (+1871)
Sdccag3	. (-12)
Sde2	. (-141)
Sdhd	. (-51)
Sec14l1	. (-33263), . (-333)
Sec16b	. (+16)
Sec22c	. (-4934)
Sec23b	. (-170)
Sec23ip	. (-4369)
Sec24a	. (+257)
Sec24c	. (-201)
Sec31a	. (-13344), . (-78)
Sec61a1	. (+1)
Sec61g	. (-83196)
Sec62	. (+313)
Secisbp2	. (+103)
Selk	. (-89)
Selm	. (+20787)
Selplg	. (+111)
Selrc1	. (+88)
Sema3b	. (-17591), . (-3448)
Sema4a	. (-35650)
Sema4c	. (+1173)
Sema4d	. (+45535)
Senp3	. (-140)
Senp5	. (+174)
Senp8	. (+25)
Sep15	. (+71)
Sephs2	. (-136)
Sept11	. (-45289)
Sept2	. (-376)
Sept9	. (+92974), . (+111595), . (+119266)
Sepw1	. (+213)
Serac1	. (-85)
Serbp1	. (-86)
Serf2	. (+64)
Serpinb9	. (+1346)
Serpinb9b	. (-22820)
Sertad2	. (-692)
Sesn2	. (-94)
Setd2	. (-250)
Setd3	. (-360)
Setd4	. (+310645), . (+699603)
Setd5	. (-1229)
Setd7	. (+1177)
Setdb2	. (+53)
Sf3a3	. (-29)
Sf3b2	. (-84)
Sf3b4	. (+176)
Sfpi1	. (-13172), . (+580)
Sfr1	. (-459)
Sfrs18	. (+199)
Sfswap	. (-87)
Sft2d1	. (-68)
Sft2d2	. (-101)
Sgol1	. (-136), . (+101874)
Sgsm2	. (-894), . (+59058)
Sh3bgrl3	. (-9)
Sh3bp5	. (-92)
Sh3bp5l	. (-269)
Sh3gl1	. (-3649), . (-3), . (+5519)
Sh3glb1	. (-63)
Sh3glb2	. (-4805)
Sh3kbp1	. (+108306)
Sh3yl1	. (+147980)
Shb	. (+56976)
Shc1	. (-3285)
Shf	. (+18033)
Shmt1	. (-8)
Shmt2	. (+194)
Shpk	. (-184)
Siah2	. (+91)
Sik1	. (-107), . (+64872), . (+78602), . (+126554), . (+162178)
Sik2	. (-75)
Sil1	. (+104)
Sin3a	. (-2767)
Sipa1l1	. (+158856)
Sirt1	. (-19)
Ska3	. (-156)
Ski	. (-832)
Skil	. (-33644), . (-1492)
Skiv2l	. (-168)
Skiv2l2	. (-93)
Skor1	. (+22683)
Skp2	. (+162)
Slamf7	. (-9732)
Slc10a3	. (-39)
Slc12a6	. (-4895), . (-1169)
Slc16a1	. (-185), . (+36868)
Slc16a13	. (-35)
Slc16a3	. (+2479)
Slc16a6	. (+33545)
Slc17a5	. (+60569)
Slc20a1	. (-37)
Slc23a3	. (+9057)
Slc24a6	. (+66970)
Slc25a1	. (-436), . (+6349)
Slc25a10	. (+733)
Slc25a22	. (-2902)
Slc25a23	. (-665)
Slc25a28	. (-366)
Slc25a29	. (-279)
Slc25a30	. (-47319)
Slc25a32	. (-50)
Slc25a33	. (+59)
Slc25a36	. (+99)
Slc25a37	. (-34)
Slc25a39	. (-1057)
Slc25a43	. (+1289)
Slc25a45	. (+138)
Slc25a5	. (-50703), . (+661)
Slc25a51	. (-64593), . (-32)
Slc26a6	. (+289)
Slc26a8	. (-1281)
Slc29a1	. (+601)
Slc2a1	. (+38)
Slc2a3	. (-61896)
Slc2a4	. (-842)
Slc2a9	. (+194)
Slc30a1	. (+891)
Slc30a5	. (-886225), . (-860791), . (+31)
Slc33a1	. (+78)
Slc35a4	. (-154)
Slc35a5	. (-34)
Slc35b1	. (-160)
Slc35b2	. (-78)
Slc35b3	. (+182)
Slc35c2	. (+54)
Slc35e2	. (-37523)
Slc35e4	. (+633)
Slc36a1	. (-53)
Slc37a4	. (-153)
Slc38a1	. (+98486)
Slc38a2	. (-10091)
Slc38a4	. (+346167)
Slc38a6	. (-3)
Slc39a13	. (-12641), . (-147)
Slc39a6	. (-61)
Slc39a8	. (+432)
Slc39a9	. (-179)
Slc3a2	. (+10162)
Slc41a1	. (-75)
Slc43a3	. (+1963)
Slc48a1	. (+40886)
Slc4a2	. (-1335)
Slc52a2	. (-220)
Slc6a7	. (+50602)
Slc7a1	. (-61)
